analysis_hash,candidate_id,audit_status,evidence_note,reviewer,reviewed_at
6d2454b8cb5c7da50a09922fefe56af3b1102d12d6439c7be7388f1d51de9f8b,extend-hours:library:MD,valid,"TPL source, Phase 1 coordinates, Tuesday hours, snap, and audit map agree.",FG03 audit,2026-07-25
6d2454b8cb5c7da50a09922fefe56af3b1102d12d6439c7be7388f1d51de9f8b,extend-hours:library:SP,valid,"TPL source, Phase 1 coordinates, Tuesday hours, snap, and audit map agree.",FG03 audit,2026-07-25
6d2454b8cb5c7da50a09922fefe56af3b1102d12d6439c7be7388f1d51de9f8b,extend-hours:parks:45062,valid,"Parks and City-hours source, coordinates, late closure, snap, and map agree.",FG03 audit,2026-07-25
6d2454b8cb5c7da50a09922fefe56af3b1102d12d6439c7be7388f1d51de9f8b,extend-hours:library:ND,valid,"TPL source, Phase 1 coordinates, Tuesday hours, snap, and audit map agree.",FG03 audit,2026-07-25
6d2454b8cb5c7da50a09922fefe56af3b1102d12d6439c7be7388f1d51de9f8b,extend-hours:library:RD,valid,"TPL source, Phase 1 coordinates, Tuesday hours, snap, and audit map agree.",FG03 audit,2026-07-25
6d2454b8cb5c7da50a09922fefe56af3b1102d12d6439c7be7388f1d51de9f8b,extend-hours:parks:317,valid,"Parks and City-hours source, coordinates, late closure, snap, and map agree.",FG03 audit,2026-07-25
6d2454b8cb5c7da50a09922fefe56af3b1102d12d6439c7be7388f1d51de9f8b,extend-hours:parks:29631,valid,"Parks source, listed 10 p.m. closure, plausible golf-course snap, and map agree.",FG03 audit,2026-07-25
6d2454b8cb5c7da50a09922fefe56af3b1102d12d6439c7be7388f1d51de9f8b,extend-hours:library:DP,valid,"TPL source, Phase 1 coordinates, Tuesday hours, snap, and audit map agree.",FG03 audit,2026-07-25
6d2454b8cb5c7da50a09922fefe56af3b1102d12d6439c7be7388f1d51de9f8b,extend-hours:library:LO,valid,"TPL source, Phase 1 coordinates, Tuesday hours, snap, and audit map agree.",FG03 audit,2026-07-25
6d2454b8cb5c7da50a09922fefe56af3b1102d12d6439c7be7388f1d51de9f8b,extend-hours:library:SL,valid,"TPL source, Phase 1 coordinates, Tuesday hours, snap, and audit map agree.",FG03 audit,2026-07-25
6d2454b8cb5c7da50a09922fefe56af3b1102d12d6439c7be7388f1d51de9f8b,new-facility-zone:13865,exclude,"Excluded from this release: a nearby open facility is about 222 m away straight-line but routes 1.17 km in the model, so station-area topology cannot support this geographic-gap claim.",FG03 audit,2026-07-25
6d2454b8cb5c7da50a09922fefe56af3b1102d12d6439c7be7388f1d51de9f8b,new-facility-zone:43103,exclude,"Mount Dennis library is about 109 m by network and scheduled closed; this is an hours gap, not a new-zone gap.",FG03 audit,2026-07-25
6d2454b8cb5c7da50a09922fefe56af3b1102d12d6439c7be7388f1d51de9f8b,new-facility-zone:14948,valid,"Kipling GTFS platform, network snap, fare-paid context, and audit map agree.",FG03 audit,2026-07-25
6d2454b8cb5c7da50a09922fefe56af3b1102d12d6439c7be7388f1d51de9f8b,new-facility-zone:8878,valid,"GTFS stop, public-access context, snap, and audit map agree.",FG03 audit,2026-07-25
6d2454b8cb5c7da50a09922fefe56af3b1102d12d6439c7be7388f1d51de9f8b,new-facility-zone:3734,valid,"Broadview GTFS platform, public gap context, snap, and audit map agree.",FG03 audit,2026-07-25
6d2454b8cb5c7da50a09922fefe56af3b1102d12d6439c7be7388f1d51de9f8b,new-facility-zone:3850,exclude,"Excluded from this release: nearby Civic Centre and library washrooms are about 151 to 264 m away straight-line but route over 800 m in the model, so station-area topology cannot support this geographic-gap claim.",FG03 audit,2026-07-25
6d2454b8cb5c7da50a09922fefe56af3b1102d12d6439c7be7388f1d51de9f8b,new-facility-zone:13814,valid,"King GTFS platform, public gap context, snap, and audit map agree.",FG03 audit,2026-07-25
6d2454b8cb5c7da50a09922fefe56af3b1102d12d6439c7be7388f1d51de9f8b,new-facility-zone:18724,valid,"GTFS stop and 463 m network threshold gap agree with source and map.",FG03 audit,2026-07-25
6d2454b8cb5c7da50a09922fefe56af3b1102d12d6439c7be7388f1d51de9f8b,new-facility-zone:18863,exclude,"Excluded from this release: Main Square Community Centre is about 152 m away straight-line but routes about 627 m in the model, so the local snap and topology cannot support this geographic-gap claim.",FG03 audit,2026-07-25
6d2454b8cb5c7da50a09922fefe56af3b1102d12d6439c7be7388f1d51de9f8b,new-facility-zone:11230,valid,"Pioneer Village GTFS platform, public gap context, snap, and audit map agree.",FG03 audit,2026-07-25
6d2454b8cb5c7da50a09922fefe56af3b1102d12d6439c7be7388f1d51de9f8b,verify-hours:automated:PW-00011,valid,"Unrestricted source record has seasonal but no daily hours; coordinates, snap, and map support an hours-verification action.",FG03 audit,2026-07-25
6d2454b8cb5c7da50a09922fefe56af3b1102d12d6439c7be7388f1d51de9f8b,verify-hours:parks:6171,valid,"Parks source publishes no parseable daily hours; coordinates, snap, and map support verification.",FG03 audit,2026-07-25
6d2454b8cb5c7da50a09922fefe56af3b1102d12d6439c7be7388f1d51de9f8b,verify-hours:parks:6105,valid,"Parks source publishes no parseable daily hours; coordinates, snap, and map support verification.",FG03 audit,2026-07-25
6d2454b8cb5c7da50a09922fefe56af3b1102d12d6439c7be7388f1d51de9f8b,verify-hours:parks:6091,valid,"Parks source publishes no parseable daily hours; coordinates, snap, and map support verification.",FG03 audit,2026-07-25
6d2454b8cb5c7da50a09922fefe56af3b1102d12d6439c7be7388f1d51de9f8b,verify-hours:parks:28897,valid,"Parks source publishes no parseable daily hours; coordinates, snap, and map support verification.",FG03 audit,2026-07-25
6d2454b8cb5c7da50a09922fefe56af3b1102d12d6439c7be7388f1d51de9f8b,verify-hours:parks:13499,valid,"Parks source publishes no parseable daily hours; coordinates, snap, and map support verification.",FG03 audit,2026-07-25
6d2454b8cb5c7da50a09922fefe56af3b1102d12d6439c7be7388f1d51de9f8b,verify-hours:parks:5976,valid,"Parks source publishes no parseable daily hours; coordinates, snap, and map support verification.",FG03 audit,2026-07-25
6d2454b8cb5c7da50a09922fefe56af3b1102d12d6439c7be7388f1d51de9f8b,verify-hours:parks:5665,exclude,"Source and map support verification, but the primary gain reaches only 2 active stops and fails the published 3-stop materiality threshold.",FG03 audit,2026-07-25
6d2454b8cb5c7da50a09922fefe56af3b1102d12d6439c7be7388f1d51de9f8b,verify-hours:automated:PW-00001,exclude,"Source and map support verification, but the primary gain reaches only 2 active stops and fails the published 3-stop materiality threshold.",FG03 audit,2026-07-25
6d2454b8cb5c7da50a09922fefe56af3b1102d12d6439c7be7388f1d51de9f8b,verify-hours:parks:5675,valid,"Parks source publishes no parseable daily hours; coordinates, snap, and map support verification.",FG03 audit,2026-07-25
6d2454b8cb5c7da50a09922fefe56af3b1102d12d6439c7be7388f1d51de9f8b,verify-accessibility:parks:29524,exclude,"Source and map support verification, but the primary gain is 9 unique trips and fails the published 10-trip materiality threshold.",FG03 audit,2026-07-25
